STATEFP,COUNTYFP,COUNTYNS,GEOID,NAMELSAD,popdensi12,county_c_3,county_c_4,county_c_5,county_c_6,county_c_7,county_c_8,county_c_9,county_c10,county_c11,county_c12,county_c13,county_c14,county_c15,county_c16,county_c17,county_c18,county_c19,county_c20,county_c21,county_c22,county_c23,county_c24,county_c25,county_c26,county_c27,county_c28,county_c29,county_c30,county_c31,county_c32,county_c33,county_c34,county_c35,county_c36,county_c37,county_c38,county_c39,county_c40,county_c41,county_c42,county_c43,county_c44,county_c45,county_c46,county_c47,county_c48,county_c49,county_c50,county_c51,county_c52,county_c53,county_c54,county_c55,county_c56,county_c57,county_c58,county_c59,county_c60,county_c61,county_c62,county_c63,county_c64,county_c65,county_c66,county_c67,county_c68,county_c69,county_c70,county_c71,county_c72,county_c73,county_c74,county_c75,county_c76,county_c77,county_c78,county_c79,county_c80,county_c81,county_c82,county_c83,county_c84,county_c85,county_c86,county_c87,county_c88,county_c89,county_c90,county_c91,county_c92,county_c93,county_c94,county_c95,county_c96,county_c97,county_c98,fed_spending_2009,area_2010,density_2010,smoking_ban_2010,unemployment_rate_2011
31,39,835841,31039,Cuming County,8991,9042,6.1,21.3,44,0.06,0.19,0.07,0.1,2.27,0.68,9.89,88.48,90.8,8.2,87.8,87.1,30.4,21.2,9,15.4,65.3,78.2,3790,2.38,2.35,22783,331142,0,44278,56419,50734,360,2672,-19.1,686,851,8,18.9,11.8,4572,136,2.89,8.6,3.9,3.8,0.6,4714,4586,128,2.72,75.4,21.7,3.8,6.2,0.3,3,23.8,0.1,10.1,67.6,65.4,69.8,3727,0.1,2.5,0,0.4,7.8,30.3,1,69.7,88.4,70360,NA,42.6,56768,31859,38392,0.4,3.7,0.1,29765,2.36,8952,NA,NA,NA,1.3,2.7,7.5,0.7,2.3,1.1,7.7,94.2,88.1,331142,594.44,91.8,none,8.36
53,69,1513275,53069,Wahkiakum County,4189,4264,3.9,31.8,53.3,0.1,0.96,0.85,0.01,0.51,1.17,5.77,88.53,97.4,2.2,93.1,91.5,41.1,17.1,13.4,24.6,77.1,86.5,1823,2.25,2.22,23115,27420.27,0,40372,54162,49508,89,617,12.2,343,253,13.9,7.6,16.6,1178,110,8.54,9,2.1,10.4,0,1307,1214,93,7.12,83.6,33,2.4,3.9,1.9,2.65,19.4,1.3,6.9,81,82.2,71.4,1897,2.3,0.7,0.4,0.8,2,13.3,15.2,86.7,92.1,71637,37.2,55.1,53227,26813,39663,0.7,3.6,0,31110,2.22,4268,NA,NA,NA,1.7,6.9,5.8,0,10.4,6.3,14.6,90.8,86.7,1119082,1589.78,114.6,none,8.97
35,11,933054,35011,De Baca County,2060,1829,3.7,18.7,42.6,0.74,0,0.12,0,9.28,2.73,46.03,52.23,73,0.2,85.9,87.2,40.8,10.4,17.6,10.3,64.9,77,666,2.26,2.99,20769,17339.13,0,30643,32820,31439,58,352,-7.4,123,179,22.7,0,21.8,786,39,4.73,9.1,0,0,0,840,802,38,4.52,65.8,19.7,2.5,6.6,0.3,4.81,13,1.6,53.5,68.2,64,68,672,0,1.3,0,3.4,32.9,37.4,18.3,62.6,84.3,49045,NA,35.4,31625,23838,31330,0.2,22.4,0,17376,3,2040,NA,NA,NA,8.6,10.8,4.1,0,2.3,0,17.5,66.9,44.4,240308,884.88,31,partial,11.54
31,109,835876,31109,Lancaster County,310094,314358,6.6,12.6,33.2,2.03,0.28,2.12,0.03,0.76,1.52,6.73,82.09,88.5,5.9,93.4,93.3,33.3,37.9,6.7,18.8,84,91.5,120962,2.37,2.42,25949,30661.57,1,50849,58873,55747,7731,127177,0.6,18009,24564,14,18.7,15.4,164048,4697,2.78,8.3,3.9,4.2,0.2,168999,164538,4461,2.64,77.1,13.5,1.7,6.4,4.2,3.05,39.5,4,7,87.7,84.1,82.8,124324,3.1,2.8,1.2,2.9,5,40.2,1.6,59.8,93.7,80125,NA,33.5,60527,31293,40855,0.7,1.4,0.1,32378,2.41,313158,12.5,5.9,13,3.6,2.8,7.2,0.5,4.7,4.4,6.3,86.1,81.2,163201,622.58,36.8,none,10.49
31,129,835886,31129,Nuckolls County,4275,4275,4.9,26.7,49.4,0.13,0.05,0.59,0,0.08,0.21,2.59,95.53,96.3,11.1,93.3,93.1,32.5,19.1,12.1,16.1,70.4,82.4,1985,2.22,2.13,20299,25442.72,0,31761,41840,42055,186,1138,-10,336,487,10.8,17.3,16,2294,69,2.92,10.2,9.5,8.5,0,2348,2286,62,2.64,79.1,26.6,3.7,5.3,1.8,2.93,20.9,0.1,2.8,72.3,68.2,65.8,1867,0.9,0,0,1.9,1.2,24.2,2.4,75.8,91.9,66329,17.6,49.2,43388,24586,31284,0.1,0,0.1,30078,2.24,4244,NA,NA,NA,0.6,1,6.7,0,8.5,5,11.1,97.2,94.6,294114,644.78,88.9,none,8.69
46,99,1265772,46099,Minnehaha County,186749,188616,7.8,12.1,34.7,2.41,1.21,0.96,0.02,0.82,1.47,4.66,83.58,91.1,6.6,91.5,91.9,33.4,30.9,7.4,17.8,79.4,89,73762,2.44,2.41,26392,29965.56,1,51799,60244,57322,5469,110148,11.6,11262,17191,11,15.3,14.2,104721,2773,2.58,7.9,4.5,4.5,0.1,109516,106400,3116,2.85,74.7,12.7,1.7,7.7,2.1,3,33.1,5.7,5,85.4,79.7,81.1,76819,1,2.4,2.6,2.5,3.8,36.8,4.3,63.2,92.5,77169,17.9,34.9,61772,33737,40113,2.1,1.4,0,31716,2.38,188674,10,8,12.6,3,2.6,8,0.6,5.4,5.1,7.5,85.8,82.5,108846,622.81,17.5,none,11.61
48,327,1383949,48327,Menard County,2123,2124,2.2,27.2,49.1,0.33,0.73,0,0,3.84,4.95,37.31,58.97,76.4,3.8,78.9,79.1,27.2,15.8,13,29.3,56,70,964,2.31,2.15,23362,23312.09,0,40996,34839,37917,53,283,-2.1,255,NA,9.8,10.6,9.4,779,37,4.53,30.4,28.6,25.1,0,807,768,39,4.83,87.4,31.4,3,0.4,0,2.72,18,0,41.7,66.1,46,70.8,1014,0,10.8,0,0,32.7,30.9,15.4,69.1,77.9,51304,NA,51.8,36395,22898,27029,0.1,10.3,0,25742,2.05,2119,NA,NA,NA,8.8,3.7,31,0,34.4,0,11.7,80.7,54.8,195055,776.83,27,comprehensive,12.47
6,91,277310,6091,Sierra County,2930,2999,3.7,26.4,55,0.07,0.49,0,0,0.02,0.95,10.05,86.97,91.8,3.9,89,92.9,46,21.4,9.8,29.6,69,75.8,1208,2.34,2.36,27389,29844.92,0,52950,48099,44190,74,322,-51.2,260,NA,12.3,2.8,10.6,1236,102,7.62,9.4,0,0.4,0,1301,1216,85,6.53,84.1,29.3,1.4,4,0,2.67,17.9,0.1,10.7,74.8,65.7,62,1319,0.9,0,0,1.4,14.3,24.6,11.4,75.4,92.4,74547,NA,54.8,52148,28138,33250,1.7,0,0,33747,2.28,3040,NA,NA,NA,0.8,6.2,8.8,0,0,0,11.4,97.5,87.6,1830659,605.87,195.7,comprehensive,10.35
21,53,516873,21053,Clinton County,10211,10276,6.2,18.5,41.7,0.27,0,0.09,0,0.51,0.46,2.76,96.1,96.2,4.8,71.2,71.7,22,10.1,8.1,18.4,54.6,65.2,4025,2.43,2.5,14802,18642,0,23788,29582,31130,190,3230,6.5,824,690,20,27.8,23,3512,283,7.46,11.8,10.1,11.1,0,3877,3622,255,6.58,77.2,19.1,2.2,6.5,0.3,3.2,10.3,0.4,2.8,55.7,47.8,52.6,3985,0,0.9,0,0.7,2.6,30.5,27.1,69.5,73.2,50852,NA,41.9,32184,19275,26024,0,0.8,0,21019,2.52,10193,NA,NA,NA,1.5,6.7,8.6,0.6,11.4,8.9,8,97,95,294718,596.53,57.4,none,11.97
39,63,1074044,39063,Hancock County,75690,75754,6,15.9,38.9,0.72,0.03,0.91,0,0.74,1.3,5.16,89.62,94.6,5.9,92.5,92.5,29.7,27.1,8.3,17.1,79.4,88.8,32049,2.37,2.3,25158,30328.26,0,49070,56406,52831,1741,37256,-8,4143,6632,12.1,12.7,15.6,39995,1527,3.68,6,5,4.2,0.8,41822,40307,1515,3.62,77.7,16.6,2.2,6,1.9,2.87,27.1,1.7,5.5,85.2,80.2,78.9,31937,1.8,1.4,0.7,1.5,3.6,31.2,6.8,68.8,92.5,77807,17.3,39.3,58450,31737,39344,0.1,1.7,0,32797,2.31,75837,10.8,6.2,13.6,2.6,3.5,4.1,0.1,2.8,2.9,7.9,92.1,89,184642,553.7,46.9,none,9.69
